Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Interferon Alpha Response	24/97	4.2205427450715623E-16	1.918428520487074E-15	0	0	11.376871615164065	402.7571572622553	IFITM3;CD74;IFITM2;CSF1;RSAD2;MX1;ISG15;PARP14;IFIT3;IFI44L;IFIT2;OASL;ISG20;CXCL10;CXCL11;PLSCR1;IFI27;OAS1;IRF1;CCRL2;EPSTI1;PSME2;TXNIP;LY6E
Coagulation	25/138	2.2903402056283617E-13	9.543084190118175E-13	0	0	7.653757097091382	222.76187964058346	C1QA;SPARC;PLEK;CLU;C3;PLAU;CTSK;S100A13;CTSH;OLR1;TIMP3;LTA4H;TIMP1;A2M;ANXA1;MMP7;GSN;MMP9;F3;MMP10;DUSP6;APOC2;APOC1;CFB;LGMN
Allograft Rejection	29/200	1.0259871634639E-12	3.946104474861154E-12	0	0	5.8915911921802095	162.63953047847767	CCL13;CSF1;CFP;IL2RG;TNF;ICAM1;HLA-DMA;HLA-DMB;CCND2;SOCS1;CCL7;CCL5;CCL4;CCL2;TIMP1;HLA-DOA;HLA-DQA1;CD74;FYB1;CCL22;GZMB;INHBA;MMP9;EREG;PTPRC;IRF4;IL1B;HLA-DRA;FCGR2B
Epithelial Mesenchymal Transition	28/200	6.04824268016506E-12	2.1600866714875216E-11	0	0	5.64487743557511	145.81425918027517	SPARC;CXCL8;SERPINE2;TNFAIP3;SAT1;GLIPR1;LGALS1;BASP1;SPP1;TIMP3;TIMP1;TGM2;IL32;JUN;GADD45B;TPM2;PLAUR;EMP3;INHBA;GEM;GREM1;MFAP5;ID2;PMP22;PTX3;TGFBI;VIM;MYL9
UV Response Up	23/158	2.1415827695937136E-10	7.138609231979046E-10	0	0	5.866216931216931	130.6072474247425	CDKN1C;BTG2;ALAS1;BTG1;TFRC;RRAD;SHOX2;TCHH;FOS;SOD2;CXCL2;ICAM1;GLS;NFKBIA;STIP1;NR4A1;BCL2L11;GAL;CA2;IRF1;HMOX1;JUNB;ATF3
Xenobiotic Metabolism	25/200	9.579484200357532E-10	2.993588812611729E-9	0	0	4.926267281105991	102.29998551232578	CDA;ALAS1;AQP9;NDRG2;ETS2;HSD11B1;MT2A;TDO2;CA2;KYNU;HMOX1;APOE;CD36;UPP1;PTGDS;IL1R1;TMEM176B;IGF1;CYP27A1;GCLC;ID2;BLVRB;FBP1;CFB;CES1
Cholesterol Homeostasis	14/74	2.4973168361477883E-8	7.345049518081731E-8	0	0	7.937844171060339	138.95564421503042	CYP51A1;PLAUR;LPL;CLU;ACAT2;PNRC1;ACTG1;LGALS3;PLSCR1;ALCAM;FABP5;PPARG;ATF3;LGMN
mTORC1 Signaling	21/200	4.2868577151072155E-7	1.1907938097520043E-6	0	0	4.015964532098054	58.8842472318488	CDKN1A;BTG2;TFRC;HSPA5;TXNRD1;FGL2;CYP51A1;CXCR4;SLC2A3;GLRX;SLC7A11;CFP;HSP90B1;HSPD1;STIP1;GCLC;DDIT3;LTA4H;NUPR1;CTSC;LGMN
Angiogenesis	7/36	6.90169225839865E-5	1.8162348048417502E-4	0	0	8.124760536398467	77.8446211435481	CCND2;SPP1;PRG2;LPL;OLR1;S100A4;TIMP1
Reactive Oxygen Species Pathway	8/49	7.808812373175102E-5	1.9522030932937753E-4	0	0	6.575100742311771	62.185149985361804	GCLC;TXNRD1;MGST1;GLRX;LSP1;TXN;SOD2;JUNB
Estrogen Response Late	17/200	8.281300922576988E-5	1.971738314899283E-4	0	0	3.1568286701809263	29.67079714844461	DUSP2;EGR3;ATP2B4;SNX10;FOS;KLF4;ISG20;GAL;FABP5;CCND1;CA2;MDK;ID2;BLVRB;CKB;SGK1;S100A9
Fatty Acid Metabolism	14/158	2.2352960081851382E-4	5.080218200420769E-4	0	0	3.293082405780121	27.681541078050486	HPGD;G0S2;ACAT2;IL4I1;LGALS1;TDO2;CA2;ALDH1A1;SMS;CD36;GLUL;MGLL;S100A10;YWHAH
Apical Junction	15/200	8.044495394376321E-4	0.001748803346603548	0	0	2.7453368861819567	19.561492541215767	FYB1;ACTN1;NEXN;RHOF;MMP9;ACTB;ICAM1;ACTG1;PTPRC;CD209;CLDN14;MDK;TGFBI;MYL9;YWHAH
Myogenesis	14/200	0.0022707796387930993	0.0045415592775861985	0	0	2.543927282347828	15.486493265138872	CDKN1A;SPARC;GSN;GADD45B;TPM2;IGF1;SORBS1;LSP1;CLU;FABP3;MRAS;CD36;CKB;HBEGF
Glycolysis	14/200	0.0022707796387930993	0.0045415592775861985	0	0	2.543927282347828	15.486493265138872	HSPA5;SDC2;CXCR4;IRS2;GLRX;TXN;EXT1;ISG20;GCLC;STMN1;GPC4;TGFBI;MET;IER3
Androgen Response	9/100	0.0025843812013181303	0.004969963848688712	0	0	3.3299000650917026	19.840440931023192	CCND1;TSC22D1;HPGD;ACTN1;SMS;ARID5B;SGK1;SAT1;SLC38A2
UV Response Dn	11/144	0.0033470990034439505	0.006198331487859168	0	0	2.7883169462116832	15.892462127536408	SDC2;KCNMA1;ATP2B4;PMP22;PPARG;PLPP3;F3;MET;MGLL;RUNX1;MT1E
Adipogenesis	12/200	0.014599954997681172	0.02517233620289857	0	0	2.1495323620374855	9.08550760753939	C3;FABP4;UCP2;LPL;NABP1;PPARG;PLIN2;PIM3;APOE;CD36;SORBS1;MGLL
Estrogen Response Early	12/200	0.014599954997681172	0.02517233620289857	0	0	2.1495323620374855	9.08550760753939	KLF10;UGCG;SYNGR1;FCMR;EGR3;CCND1;PMAIP1;BLVRB;HES1;FOS;KLF4;TGM2
TGF-beta Signaling	5/54	0.0202376628575086	0.033729438095847664	0	0	3.4192500529623615	13.335792950554167	CDKN1C;KLF10;ID2;ID3;JUNB
Wnt-beta Catenin Signaling	4/42	0.03339450466797842	0.053862104303191	0	0	3.5231342605217706	11.976415502635641	CCND2;NUMB;RBPJ;WNT1
Unfolded Protein Response	7/113	0.04744749011585065	0.07413670330601664	0	0	2.2139838836477987	6.748514349821961	HSPA5;NABP1;CCL2;IFIT1;PDIA6;ATF3;HSP90B1
heme Metabolism	9/200	0.13150269135670375	0.19924650205561176	0	0	1.5782877574475072	3.2019165040106796	C3;BTG2;GCLC;TFRC;CA2;UCP2;BLVRB;CIR1;SLC7A11
Apical Surface	3/44	0.1362505128389871	0.20036840123380456	0	0	2.444407064760303	4.87233902509885	PLAUR;IL2RG;SULF2
Pperoxisome	5/104	0.18716612472041244	0.26693607464079083	0	0	1.6879871378141273	2.828659113118287	CRABP2;ALDH1A1;ITGB1BP1;SOD2;YWHAH
PI3K/AKT/mTOR  Signaling	5/105	0.1921939737413694	0.26693607464079083	0	0	1.6710207612456747	2.755931219482237	CDKN1A;DDIT3;CXCR4;IL2RG;HSP90B1
KRAS Signaling Dn	8/200	0.2298152278608484	0.3105611187308762	0	0	1.3931159420289856	2.048548642913793	NR4A2;BTG2;EDN1;RSAD2;SHOX2;MX1;SGK1;IFI44L
Notch Signaling	2/32	0.2391131551944488	0.3146225726242748	0	0	2.2245553643144005	3.1829347168203497	CCND1;HES1
Hedgehog Signaling	2/36	0.28265812681105973	0.36238221386033304	0	0	1.96243798724309	2.4795740410520497	DPYSL2;ETS2
Mitotic Spindle	7/199	0.36106937999519223	0.44613401497103844	0	0	1.2168601707175926	1.2395973864646226	CCDC88A;MARCKS;GSN;BCL2L11;BIRC5;RHOF;CDK5RAP2
G2-M Checkpoint	7/200	0.3658298922762515	0.44613401497103844	0	0	1.2104922279792747	1.217255040849464	MT2A;SLC38A1;MARCKS;CCND1;UBE2C;STMN1;BIRC5
Bile Acid Metabolism	4/112	0.41288040078250177	0.4915242866458354	0	0	1.2351436064734855	1.0926047172371622	CYP27A1;CH25H;AQP9;ALDH1A1
Myc Targets V2	2/58	0.5073496346292552	0.589941435615413	0	0	1.1901278583722645	0.807567088035693	DUSP2;HSPD1
DNA Repair	4/150	0.6402103601393512	0.7275117728856264	0	0	0.9118697802067807	0.4066560510323849	CDA;MPC2;PDE4B;REV3L
Pancreas Beta Cells	1/40	0.6941014237991834	0.741134900066657	0	0	0.8537316063089259	0.31172915577235105	INSM1
E2F Targets	5/200	0.6966668060626576	0.741134900066657	0	0	0.8527193682903026	0.3082137295025053	CDKN1A;TFRC;STMN1;HMGB2;BIRC5
Oxidative Phosphorylation	5/200	0.6966668060626576	0.741134900066657	0	0	0.8527193682903026	0.3082137295025053	LDHB;ALAS1;NDUFB6;FDX1;ATP1B1
Protein Secretion	2/96	0.7738949970456842	0.8061406219225877	0	0	0.7076207565825613	0.18137669942474993	CTSC;IGF2R
Spermatogenesis	2/135	0.9076108290675922	0.9261334990485635	0	0	0.49911353254047336	0.048383863506617615	SCG5;NCAPH
Myc Targets V1	2/200	0.9815212697086093	0.9815212697086093	0	0	0.3341330690728281	0.006232114642174836	RACK1;HSPD1
